directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,target_zone_hit,total_score,wrist_angle,elbow_angle,shoulder_angle,hand_pos_x,hand_pos_y,hand_pos_z,wrist_movement_filename,elbow_movement_filename,shoulder_movement_filename
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,1,1,1,62.37558,63.54193,Red,20,-36.85,98.59,-17.41,0.16,1.70,2.57,wrist_movement_T001.csv,elbow_movement_T001.csv,shoulder_movement_T001.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,2,1,2,63.64125,64.57551,Yellow,45,-24.45,73.31,-10.44,0.11,1.67,2.64,wrist_movement_T002.csv,elbow_movement_T002.csv,shoulder_movement_T002.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,3,1,3,64.71899,65.66418,Red,65,-18.08,115.95,-35.13,0.08,1.72,2.58,wrist_movement_T003.csv,elbow_movement_T003.csv,shoulder_movement_T003.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,4,2,1,65.78594,66.86302,Red,20,-47.16,100.97,-21.50,0.02,1.67,2.71,wrist_movement_T004.csv,elbow_movement_T004.csv,shoulder_movement_T004.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,5,2,2,66.98463,67.85223,Black,30,-26.89,101.31,-24.24,0.28,1.73,2.62,wrist_movement_T005.csv,elbow_movement_T005.csv,shoulder_movement_T005.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,6,2,3,67.97374,69.8,Red,50,-37.23,112.06,-37.26,0.29,1.72,2.58,wrist_movement_T006.csv,elbow_movement_T006.csv,shoulder_movement_T006.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,7,3,1,69.93361,71.28545,Blue,15,-26.55,45.27,0.39,0.10,1.68,0.72,wrist_movement_T007.csv,elbow_movement_T007.csv,shoulder_movement_T007.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,8,3,2,71.5195,72.93082,White,20,-40.40,105.00,-56.85,0.14,1.65,0.80,wrist_movement_T008.csv,elbow_movement_T008.csv,shoulder_movement_T008.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,9,3,3,73.3307,74.54226,Blue,35,-65.81,115.05,-28.15,0.11,1.69,0.73,wrist_movement_T009.csv,elbow_movement_T009.csv,shoulder_movement_T009.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,10,4,1,74.702,76.03046,White,5,-35.22,101.08,-41.35,0.11,1.69,0.71,wrist_movement_T010.csv,elbow_movement_T010.csv,shoulder_movement_T010.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,11,4,2,76.12935,77.10855,Red,25,-33.17,46.85,2.35,0.29,1.70,0.67,wrist_movement_T011.csv,elbow_movement_T011.csv,shoulder_movement_T011.csv
throwing_experiment/Example Participant 1/S001,throwing_experiment,Example Participant 1,1,12,4,3,77.29681,78.87575,Yellow,50,-18.10,84.92,-46.65,0.21,1.70,0.70,wrist_movement_T012.csv,elbow_movement_T012.csv,shoulder_movement_T012.csv
