time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.08515,0.3516,1.233,2.3527,4.094,15.3805,30.8612
10.09666,0.3541,1.213,2.3706,358.3797,14.1162,28.1738
10.10715,0.3567,1.2022,2.3845,354.4437,13.5219,26.8414
10.11622,0.3577,1.191,2.4017,349.3376,13.4224,25.1891
10.12493,0.3679,1.2443,2.3327,6.3118,17.0588,29.02
10.1353,0.3665,1.2255,2.3492,0.1073,17.0965,26.5237
10.14664,0.3632,1.2107,2.3659,354.5558,17.7064,24.1557
10.16019,0.3571,1.1948,2.3904,347.5129,19.1274,20.7771
10.1822,0.3519,1.1852,2.4136,341.4789,20.8226,17.652
10.19332,0.3789,1.2618,2.2888,6.5362,18.6926,32.8083
10.20232,0.378,1.2443,2.3064,0.1322,19.1321,30.5426
10.21293,0.3765,1.2326,2.3225,354.7955,19.6876,28.3905
10.22329,0.375,1.2221,2.3432,348.4536,20.5488,25.7297
10.23502,0.3796,1.2497,2.2826,6.0037,21.9378,30.6518
10.24558,0.3766,1.2371,2.297,0.7135,22.3811,27.9887
10.25646,0.3728,1.2281,2.309,356.64,22.9257,25.625
10.26757,0.3672,1.2192,2.3224,352.3383,23.7332,22.734
10.2794,0.3691,1.2263,2.2924,6.6688,25.487,28.7293
10.28999,0.3599,1.2158,2.3043,3.5397,25.1925,25.5212
10.30149,0.3521,1.2084,2.3144,1.2185,24.8024,23.0263
10.31211,0.3444,1.2018,2.3261,358.6795,24.1627,20.5886
10.32253,0.3403,1.1984,2.3348,356.7668,23.5308,19.1613
10.33377,0.3379,1.1963,2.3441,354.6215,22.7061,18.0812
10.3455,0.3376,1.1965,2.3204,7.1511,29.2976,28.2166
10.35631,0.337,1.1952,2.3269,5.8058,28.5548,27.5892
10.36719,0.335,1.1936,2.3341,4.5027,27.785,26.8032
10.37826,0.3075,1.187,2.3849,6.8645,30.3723,28.2104
10.38972,0.3013,1.1856,2.3916,6.2494,29.6351,27.1003
10.4008,0.2947,1.1844,2.3978,5.9244,28.9519,26.0792
10.41174,0.2863,1.1835,2.4061,5.6697,28.0006,24.9509
10.4237,0.2798,1.1835,2.4131,5.5855,27.1262,24.2882
10.43431,0.2727,1.184,2.4211,5.7624,25.9589,23.8357
10.44543,0.2657,1.1848,2.4275,6.4961,24.615,23.7945
10.45617,0.2632,1.2013,2.4857,6.2038,32.2792,24.6511
10.46763,0.2501,1.1984,2.4874,8.6959,30.3972,25.2278
10.47856,0.2372,1.1958,2.4876,11.3682,28.7625,25.6496
10.48985,0.2299,1.2296,2.5775,4.7966,32.9299,20.7382
10.50117,0.2197,1.2225,2.5743,8.4814,31.8095,22.5468
10.51224,0.2102,1.2132,2.5634,14.0206,30.9551,25.7648
10.52343,0.2072,1.2057,2.5422,20.7574,31.4992,30.5614
10.53435,0.2077,1.2032,2.5146,27.5021,33.3403,36.0848
10.54579,0.2127,1.2101,2.4696,36.5332,38.056,45.7151
10.55616,0.2239,1.2313,2.4238,44.0301,45.1181,57.9385
10.5675,0.1937,1.2646,2.7647,4.054,32.4146,19.1241
10.57947,0.201,1.2225,2.6943,17.4249,31.3045,31.3007
10.58977,0.2188,1.2128,2.6097,31.0503,32.3501,44.899
10.601,0.1848,1.2726,2.8221,4.8738,31.339,16.9521
10.61392,0.1756,1.2314,2.7692,16.7297,30.0367,23.5565
10.62373,0.167,1.212,2.7535,22.0121,31.3029,25.3802
10.63435,0.1651,1.1924,2.7422,25.5579,35.9657,27.7469
10.64486,0.1624,1.2139,2.8398,5.6738,27.7268,15.6514
10.65583,0.2125,1.2079,2.8389,2.6369,32.1205,22.714
10.66676,0.2491,1.2091,2.8353,359.8452,34.9542,27.8738
10.67771,0.2699,1.208,2.8338,357.6788,36.9678,30.7127
10.68845,0.2674,1.2003,2.8375,357.2921,37.3728,30.1938
10.7001,0.2459,1.1846,2.8468,358.395,35.8841,27.2639
10.71111,0.166,1.1249,2.7427,358.2419,17.3444,26.6782
10.72214,0.1423,1.1136,2.7453,359.1311,13.4517,23.222
10.73373,0.1257,1.1047,2.7433,359.9567,9.9229,20.8756
10.74564,0.1181,1.0978,2.7408,0.3304,7.7765,19.842
10.75548,0.2065,1.109,2.5927,347.393,17.1857,27.5746
10.76704,0.2104,1.1032,2.5917,347.0503,16.6732,28.2473
10.7778,0.2177,1.0992,2.5912,346.2932,16.5108,29.6983
10.78832,0.2249,1.0968,2.591,345.4866,16.4828,31.1237
10.80009,0.2338,1.0951,2.5903,344.5763,16.3719,32.9253
10.81094,0.2416,1.0958,2.5886,344.0502,16.0331,34.4735
10.82202,0.2367,1.2208,2.4094,348.4642,16.6919,21.8386
10.83311,0.2408,1.221,2.4081,348.3341,16.0386,22.5033
10.84527,0.2442,1.2209,2.4064,348.403,15.2682,22.7537
10.85566,0.2384,1.2131,2.4058,355.1484,15.4237,34.7435
10.86634,0.2388,1.2115,2.404,355.1649,14.9152,34.3746
10.87856,0.2389,1.2098,2.4016,355.0541,14.3238,33.9186
