time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
43.65064,0.0894,1.4782,2.6138,323.0469,301.2619,38.2403
43.66635,0.0904,1.4814,2.607,320.8737,298.5773,41.5419
43.67754,0.0916,1.4856,2.5994,323.8182,300.9662,36.0558
43.68638,0.0926,1.4892,2.5927,322.4086,298.7191,38.909
43.69516,0.0935,1.4929,2.5855,320.9452,296.1002,42.2279
43.70496,0.0944,1.496,2.5793,319.8244,293.6744,45.2717
43.71608,0.0954,1.4999,2.5716,318.4825,290.5847,49.2583
43.72742,0.0963,1.5046,2.5616,317.0607,286.6408,54.3712
43.73819,0.097,1.5088,2.5525,316.1085,283.2338,58.7585
43.75051,0.0978,1.514,2.5408,320.5675,298.5421,37.9579
43.76013,0.0989,1.519,2.5287,318.8762,295.208,42.5467
43.77266,0.1003,1.5238,2.5162,317.3882,291.4939,47.7103
43.79666,0.1017,1.5275,2.5058,316.7593,296.0674,39.0661
43.80848,0.1048,1.5366,2.4802,313.8562,287.5071,50.867
43.81931,0.1069,1.54,2.4683,313.2978,283.0316,57.6206
43.8297,0.1088,1.544,2.4554,310.6112,289.8538,43.1211
43.8391,0.1103,1.5466,2.4466,310.1339,286.3726,48.032
43.84937,0.1122,1.5497,2.4339,309.5503,282.5463,54.0034
43.8598,0.1137,1.5523,2.4196,308.7699,279.0654,59.9527
43.8712,0.1149,1.5537,2.4076,308.1277,276.4164,64.6836
43.88206,0.1166,1.5546,2.3943,307.5855,273.0197,70.4007
43.89466,0.1182,1.5554,2.3816,303.0128,282.938,49.808
43.90518,0.1193,1.5563,2.3711,302.4727,278.5614,55.4618
43.91692,0.1206,1.5571,2.3598,302.4691,273.3927,61.6341
43.92757,0.1216,1.5577,2.3505,303.0278,269.259,66.2454
43.93893,0.1227,1.5583,2.342,295.041,267.8789,65.2591
43.94958,0.1242,1.559,2.3323,296.5525,262.3053,70.6735
43.96062,0.1255,1.5595,2.323,297.7329,257.3997,75.5187
43.97157,0.1263,1.5589,2.3139,298.1576,252.8684,80.2373
