time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
57.90771,0.3116,1.192,2.2055,278.4688,219.0939,142.3587
57.92667,0.2927,1.2628,2.1432,283.0544,203.1144,158.3455
57.93753,0.2972,1.2378,2.1516,288.0968,196.9738,164.3365
57.9484,0.2995,1.2142,2.1637,293.0846,194.6218,167.1237
57.9595,0.3011,1.1938,2.176,298.0408,193.374,168.9662
57.9703,0.276,1.2568,2.1121,302.1592,193.0981,169.9545
57.98157,0.2763,1.2343,2.1191,307.1135,193.3789,170.6857
57.99308,0.2767,1.2168,2.1259,311.2217,193.7857,171.2459
58.00386,0.2386,1.2472,2.09,316.1451,194.291,172.0499
58.01635,0.2378,1.2283,2.0963,320.195,194.7938,172.6979
58.02619,0.2384,1.2081,2.1047,324.8815,195.5479,173.2815
58.03735,0.2399,1.1927,2.1126,328.7523,196.2386,173.7116
58.04853,0.2424,1.1754,2.1239,333.3787,196.9675,174.3391
58.07208,0.2451,1.1595,2.1372,337.9479,197.5104,175.1567
58.08289,0.1886,1.2354,2.0346,345.6933,198.4185,176.8223
58.09235,0.184,1.2171,2.0398,348.5762,198.6638,178.3905
58.10398,0.1803,1.1991,2.046,351.661,198.8683,179.9856
58.116,0.1204,1.217,2.0277,354.0288,198.888,181.305
58.12572,0.1191,1.2013,2.0329,356.702,198.721,182.6599
58.13672,0.1202,1.189,2.038,358.9658,198.4298,183.4935
58.14774,0.1241,1.1757,2.0445,1.6053,197.9457,184.101
58.15912,0.0386,1.2054,2.0176,3.6602,197.4478,184.3309
58.17015,0.0453,1.1923,2.0216,6.0577,196.768,184.3858
58.18146,0.0519,1.1807,2.0259,8.2789,196.1702,184.3516
58.19213,0.0549,1.1722,2.03,9.9352,195.7679,184.6576
58.20344,0.0545,1.1636,2.0353,11.6642,195.5226,185.5931
58.21408,0.0516,1.1577,2.0392,12.8209,195.4663,186.6764
58.22526,-0.0384,1.2013,2.0155,13.9929,195.5014,187.9511
58.23622,-0.0404,1.1972,2.0175,14.8602,195.5622,188.7825
58.24738,-0.0413,1.1924,2.0193,15.7615,195.5818,189.3849
58.25786,-0.0406,1.1889,2.0197,16.3089,195.479,189.5392
58.26934,-0.1116,1.2079,2.0315,16.7896,195.1917,189.505
58.28059,-0.1098,1.2049,2.0299,17.0596,194.8416,189.3861
58.29202,-0.1074,1.2016,2.0278,17.3857,194.2581,189.2593
58.30279,-0.1056,1.1991,2.0265,17.7448,193.7073,189.2851
58.31445,-0.1045,1.1968,2.0264,18.3459,193.079,189.5878
58.32556,-0.1045,1.1953,2.0278,19.081,192.5726,190.1463
58.33619,-0.1642,1.2144,2.0408,19.6384,192.2993,190.7214
58.34701,-0.1653,1.2152,2.0419,20.0694,192.0672,191.3049
58.3588,-0.166,1.2161,2.0422,20.1995,191.8835,191.63
58.36915,-0.2064,1.2335,2.0595,20.1437,191.588,191.854
58.38078,-0.2064,1.2349,2.0587,20.0779,191.2428,192.0207
58.39185,-0.2064,1.2371,2.0576,20.0579,190.7291,192.2976
58.40261,-0.2063,1.2395,2.0565,20.0774,190.1789,192.5955
58.41491,-0.2353,1.2539,2.0783,20.096,189.3103,192.9673
58.42538,-0.235,1.2584,2.0747,20.0579,188.2026,193.4229
58.43658,-0.2343,1.2627,2.0706,19.8942,187.0854,193.7662
58.44804,-0.2327,1.2682,2.0643,19.481,185.4903,194.0295
58.45805,-0.2299,1.2726,2.0579,18.9014,183.9134,193.9689
58.46922,-0.2247,1.2779,2.0492,17.9322,181.6475,193.5942
58.48102,-0.26,1.2769,2.1072,16.8262,179.3988,193.0815
58.49173,-0.2543,1.2822,2.0959,15.2702,176.5004,192.3775
58.50307,-0.2486,1.2919,2.0869,13.3882,173.6448,191.9224
58.51508,-0.2464,1.3073,2.0811,11.1735,171.6463,192.1934
58.52501,-0.2816,1.3154,2.1601,6.9955,169.8987,193.4322
58.53694,-0.2866,1.3388,2.1575,2.1453,169.0643,194.565
58.54873,-0.29,1.3643,2.1586,354.6029,168.7676,194.8396
58.55942,-0.2892,1.3253,2.198,347.1748,168.9238,193.7678
58.56994,-0.2796,1.3402,2.1883,336.6174,169.501,191.2951
58.58159,-0.2694,1.3605,2.1755,326.5196,170.2533,188.7618
58.59246,-0.2581,1.4011,2.1581,313.3711,171.0452,185.9054
58.60332,-0.2481,1.4616,2.1437,298.9813,171.5838,183.2523
58.61507,-0.2378,1.523,2.1388,286.2729,173.1646,179.4409
58.62607,-0.28,1.3275,2.2775,272.1366,225.947,124.1142
58.63714,-0.2649,1.3591,2.2492,279.9399,332.7351,15.8338
58.64789,-0.2584,1.3936,2.2392,290.1241,338.7281,9.573
58.65959,-0.2665,1.4186,2.2458,297.6441,341.6836,8.5125
58.67144,-0.2102,1.2793,2.2916,305.0747,343.8293,11.6701
58.68073,-0.2147,1.2647,2.309,308.5161,343.1563,18.0952
58.69255,-0.2096,1.2297,2.3376,310.0941,340.5461,27.2188
58.70352,-0.2017,1.1968,2.3638,309.908,338.0307,34.074
58.71495,-0.1988,1.179,2.3787,308.8442,336.7978,36.5467
58.72573,-0.2024,1.1708,2.3859,307.0014,336.8694,35.4946
58.73654,-0.0695,1.1871,2.2967,305.3271,337.9638,32.2674
58.74855,-0.0721,1.1827,2.2959,303.4211,339.7198,27.1776
58.75944,-0.0721,1.1799,2.2934,302.0765,341.0775,22.932
58.77055,-0.0691,1.1762,2.2902,300.8272,341.9611,19.0784
58.78189,0.0938,1.1265,2.2904,299.8351,341.6406,17.3611
58.79261,0.0991,1.1191,2.2941,299.0487,340.4407,17.7763
58.80364,0.1062,1.1099,2.2997,298.0959,338.0913,20.0842
58.81487,0.2204,1.1432,2.2917,297.3056,335.8034,22.8849
58.82595,0.2245,1.1363,2.296,296.3673,332.9637,26.6797
58.8363,0.2274,1.1312,2.2988,295.6958,330.6433,29.889
58.84834,0.2301,1.1266,2.301,295.0634,328.2259,33.2651
58.85923,0.2336,1.1236,2.3024,294.6194,326.0607,36.0454
58.8703,0.2369,1.1219,2.3033,294.2993,324.4997,37.8202
58.8813,0.2412,1.1202,2.3044,293.9073,322.9194,39.2565
58.89243,0.2751,1.1881,2.2585,293.5639,321.8621,39.8471
58.90368,0.2804,1.1863,2.2595,293.025,320.8547,40.058
58.91528,0.2842,1.1837,2.261,292.3653,320.0517,40.174
58.92585,0.2819,1.2237,2.244,291.2308,318.8742,40.7405
58.93753,0.2837,1.2163,2.2457,289.8297,317.067,42.3144
58.94792,0.2846,1.2101,2.2468,288.6375,314.8105,44.6644
58.95908,0.2577,1.2583,2.2353,287.3208,311.0405,48.8258
