timestamp,log_type,message
0,Log,<b>[SteamVR Interaction]</b> ChaperoneInfo initialized. Roomscale play area 2.20m x 2.10m
0,Log,Loaded: C:\Users\Andrea Loriedo\Documents\Unity Projects Andrea\ThrowingTaskAndrea\Assets\StreamingAssets\throwing_participant_list.csv
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
0.12,Warning,Skeleton action: /actions/default/in/SkeletonLeftHand is not bound. Your controller may not support SteamVR Skeleton Input.
4.2906,Log,Updating: C:\Users\Andrea Loriedo\Documents\Unity Projects Andrea\ThrowingTaskAndrea\Assets\StreamingAssets\throwing_participant_list.csv
5.028405,Warning,Warning: Session already exists! Continuing will overwrite
8.821298,Log,<b>SteamVR Interaction System</b> Headset placed on head
13.25386,Log,Started trial 1
14.45556,Log,Hit!
14.46192,Log,Hit Blackzone
14.46192,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.47591,Log,Hit Blackzone
14.47591,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.48424,Log,Hit Blackzone
14.48424,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.49572,Log,Hit Blackzone
14.49572,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.50741,Log,Hit Blackzone
14.50741,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.52034,Log,Hit Blackzone
14.52034,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.53092,Log,Hit Blackzone
14.53092,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.54134,Log,Hit Blackzone
14.54134,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.55305,Log,Hit Blackzone
14.55305,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.56363,Log,Hit Blackzone
14.56363,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.57692,Log,Hit Blackzone
14.57692,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.58619,Log,Hit Blackzone
14.58619,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.59707,Log,Hit Blackzone
14.59707,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.60899,Log,Hit Blackzone
14.60899,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.61945,Log,Hit Blackzone
14.61945,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.63077,Log,Hit Blackzone
14.63077,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.64228,Log,Hit Blackzone
14.64228,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.653,Log,Hit Blackzone
14.653,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.66429,Log,Hit Blackzone
14.66429,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.67897,Log,Hit Blackzone
14.67897,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.68744,Log,Hit Blackzone
14.68744,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.69781,Log,Hit Blackzone
14.69781,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.70877,Log,Hit Blackzone
14.70877,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.71993,Log,Hit Blackzone
14.71993,Exception,"KeyNotFoundException: Custom header ""ang_vel_at_release_y"" does not exist!"
14.73104,Log,Hit Blackzone
