timestamp,log_type,message
0,Log,<b>[SteamVR Interaction]</b> ChaperoneInfo initialized. Roomscale play area 1.03m x 1.78m
0,Log,W: 310.3 E: 360 S: 360
0,Log,Loaded: C:\Users\andrea\Documents\Andrea Level 3 Project\Throwing Task Andrea\vrmat-throwing-task\Assets\StreamingAssets\throwing_participant_list.csv
0.02,Log,W: 310.3 E: 360 S: 360
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
0.12,Log,W: 310.3 E: 360 S: 360
0.1578092,Log,W: 310.3 E: 360 S: 360
0.1708402,Log,W: 310.3 E: 360 S: 360
0.1777649,Log,W: 310.3 E: 360 S: 360
0.1852369,Log,W: 310.3 E: 360 S: 360
0.1918457,Log,W: 310.3 E: 360 S: 360
0.1988151,Log,W: 310.3 E: 360 S: 360
0.205588,Log,W: 310.3 E: 360 S: 360
0.2125977,Log,W: 310.3 E: 360 S: 360
0.2235486,Log,W: 310.3 E: 360 S: 360
0.2309472,Log,W: 310.3 E: 360 S: 360
0.2375704,Log,W: 310.3 E: 360 S: 360
0.2484963,Log,W: 310.3 E: 360 S: 360
0.2624606,Log,W: 310.3 E: 360 S: 360
0.2758276,Log,W: 310.3 E: 360 S: 360
0.284767,Log,W: 310.3 E: 360 S: 360
0.2928261,Log,W: 310.3 E: 360 S: 360
0.299364,Log,W: 310.3 E: 360 S: 360
0.3058468,Log,W: 310.3 E: 360 S: 360
0.3125631,Log,W: 310.3 E: 360 S: 360
0.319277,Log,W: 310.3 E: 360 S: 360
0.3299149,Log,W: 310.3 E: 360 S: 360
0.3364417,Log,W: 310.3 E: 360 S: 360
0.3432458,Log,W: 310.3 E: 360 S: 360
0.3505434,Log,W: 310.3 E: 360 S: 360
0.3578099,Log,W: 310.3 E: 360 S: 360
0.3668154,Log,W: 310.3 E: 360 S: 360
0.3741105,Log,W: 310.3 E: 360 S: 360
0.3827641,Log,W: 310.3 E: 360 S: 360
0.3891801,Log,W: 310.3 E: 360 S: 360
0.3958631,Log,W: 310.3 E: 360 S: 360
0.4021741,Log,W: 310.3 E: 360 S: 360
0.4118164,Log,W: 310.3 E: 360 S: 360
0.4197934,Log,W: 310.3 E: 360 S: 360
0.4275292,Log,W: 310.3 E: 360 S: 360
0.4341368,Log,W: 310.3 E: 360 S: 360
0.4408116,Log,W: 310.3 E: 360 S: 360
0.4493056,Log,W: 310.3 E: 360 S: 360
0.4557179,Log,W: 310.3 E: 360 S: 360
0.463043,Log,W: 310.3 E: 360 S: 360
0.4715497,Log,W: 310.3 E: 360 S: 360
0.478051,Log,W: 310.3 E: 360 S: 360
0.4845105,Log,W: 310.3 E: 360 S: 360
0.4907837,Log,W: 310.3 E: 360 S: 360
0.5003431,Log,W: 310.3 E: 360 S: 360
0.5066791,Log,W: 310.3 E: 360 S: 360
0.5161642,Log,W: 310.3 E: 360 S: 360
0.5248883,Log,W: 310.3 E: 360 S: 360
